,Missing Count,Missing Percentage
ElementarySchoolDistrict,12309,100.0
BusinessType,12309,100.0
CoveredSpaces,12309,100.0
MiddleOrJuniorSchoolDistrict,12309,100.0
TaxAnnualAmount,12309,100.0
AboveGradeFinishedArea,12309,100.0
FireplacesTotal,12309,100.0
TaxYear,12309,100.0
WaterfrontYN,12294,99.87813794784304
BelowGradeFinishedArea,12220,99.27695182386871
BasementYN,12076,98.10707612316192
LotSizeDimensions,11701,95.06052481923795
BuilderName,11626,94.45121455845317
BuildingAreaTotal,11403,92.63953204971972
CoBuyerAgentFirstName,11113,90.2835323746852
MiddleOrJuniorSchool,10843,88.09001543585994
ElementarySchool,10841,88.07376716223901
HighSchool,10374,84.27979527175238
CoListAgentFirstName,9446,76.74059631164188
CoListAgentLastName,9436,76.65935494353725
CoListOfficeName,9433,76.63498253310586
SubdivisionName,7550,61.33723291900236
AssociationFeeFrequency,6890,55.97530262409619
MainLevelBedrooms,5076,41.238118449914694
Flooring,4617,37.509139653911774
HighSchoolDistrict,3554,28.87318222438866
AssociationFee,2566,20.846535055650335
AttachedGarageYN,1903,15.460232350312781
Stories,1684,13.681046388821189
MLSAreaMajor,1622,13.177349906572427
BuyerOfficeAOR,1291,10.48826062230888
BuyerAgentAOR,1225,9.952067592818263
LotSizeAcres,1032,8.384109188398732
ViewYN,1025,8.327240230725486
LotSizeSquareFeet,1013,8.22975058899992
LotSizeArea,1007,8.181005768137135
NewConstructionYN,982,7.977902347875538
Levels,946,7.685433422698838
PoolPrivateYN,804,6.531805995612966
GarageSpaces,549,4.460151108944674
BuyerOfficeName,147,1.1942481111381915
Latitude,93,0.7555447233731416
Longitude,93,0.7555447233731416
BuyerAgentFirstName,59,0.4793240718173694
ListAgentFirstName,51,0.41433097733365826
OriginalListPrice,33,0.2680965147453083
PropertySubType,24,0.19497928345113333
BuyerAgentMlsId,24,0.19497928345113333
ListAgentFullName,12,0.09748964172556666
FireplaceYN,12,0.09748964172556666
StreetNumberNumeric,12,0.09748964172556666
BuyerAgentLastName,12,0.09748964172556666
UnparsedAddress,11,0.08936550491510277
YearBuilt,8,0.0649930944837111
City,5,0.04062068405231944
LivingArea,4,0.03249654724185555
ListAgentAOR,2,0.016248273620927775
PurchaseContractDate,1,0.008124136810463888
ListAgentLastName,1,0.008124136810463888
BedroomsTotal,1,0.008124136810463888
CloseDate,0,0.0
ClosePrice,0,0.0
ListingKey,0,0.0
ParkingTotal,0,0.0
ListingKeyNumeric,0,0.0
MlsStatus,0,0.0
CountyOrParish,0,0.0
DaysOnMarket,0,0.0
ListOfficeName,0,0.0
PropertyType,0,0.0
ListPrice,0,0.0
StateOrProvince,0,0.0
ListingContractDate,0,0.0
ListingId,0,0.0
ContractStatusChangeDate,0,0.0
BathroomsTotalInteger,0,0.0
PostalCode,0,0.0
OriginatingSystemName,0,0.0
OriginatingSystemSubName,0,0.0
